sex,drug,source,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
male,Etanercept,GO_BP,GO:0097352,autophagosome maturation,1/11,58/12671,0.049233481291736214,0.1449188912598563,0.10072148417696854,GABARAPL1,1
male,Etanercept,GO_BP,GO:2000147,positive regulation of cell motility,2/11,425/12671,0.05052973694385693,0.14789883678510934,0.10279260501884556,NOS3/C1QBP,2
male,Etanercept,GO_BP,GO:0032411,positive regulation of transporter activity,1/11,61/12671,0.05171904568563257,0.14858713359274647,0.10327098485888431,STIMATE,1
male,Etanercept,GO_BP,GO:0040017,positive regulation of locomotion,2/11,434/12671,0.052471197630366936,0.14858713359274647,0.10327098485888431,NOS3/C1QBP,2
male,Etanercept,GO_BP,GO:0008585,female gonad development,1/11,62/12671,0.05254625349669173,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0043502,regulation of muscle adaptation,1/11,62/12671,0.05254625349669173,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0050688,regulation of defense response to virus,1/11,62/12671,0.05254625349669173,0.14858713359274647,0.10327098485888431,C1QBP,1
male,Etanercept,GO_BP,GO:0006809,nitric oxide biosynthetic process,1/11,64/12671,0.0541987014505213,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0046545,development of primary female sexual characteristics,1/11,64/12671,0.0541987014505213,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0051588,regulation of neurotransmitter transport,1/11,64/12671,0.0541987014505213,0.14858713359274647,0.10327098485888431,SV2B,1
male,Etanercept,GO_BP,GO:0071230,cellular response to amino acid stimulus,1/11,64/12671,0.0541987014505213,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:0070167,regulation of biomineral tissue development,1/11,65/12671,0.05502394252960796,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0032008,positive regulation of TOR signaling,1/11,66/12671,0.05584852896719128,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:0043065,positive regulation of apoptotic process,2/11,451/12671,0.056213465206554035,0.14858713359274647,0.10327098485888431,TP53BP2/C1QBP,2
male,Etanercept,GO_BP,GO:0005975,carbohydrate metabolic process,2/11,453/12671,0.0566600740002808,0.14858713359274647,0.10327098485888431,SESN2/GABARAPL1,2
male,Etanercept,GO_BP,GO:0006635,fatty acid beta-oxidation,1/11,67/12671,0.05667246123068681,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:0032007,negative regulation of TOR signaling,1/11,67/12671,0.05667246123068681,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:1900542,regulation of purine nucleotide metabolic process,1/11,67/12671,0.05667246123068681,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:1903035,negative regulation of response to wounding,1/11,67/12671,0.05667246123068681,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0006140,regulation of nucleotide metabolic process,1/11,68/12671,0.05749573978721323,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0003206,cardiac chamber morphogenesis,1/11,69/12671,0.05831836510359367,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0005977,glycogen metabolic process,1/11,69/12671,0.05831836510359367,0.14858713359274647,0.10327098485888431,GABARAPL1,1
male,Etanercept,GO_BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",1/11,69/12671,0.05831836510359367,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:0046209,nitric oxide metabolic process,1/11,69/12671,0.05831836510359367,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0097194,execution phase of apoptosis,1/11,69/12671,0.05831836510359367,0.14858713359274647,0.10327098485888431,TP53BP2,1
male,Etanercept,GO_BP,GO:0003279,cardiac septum development,1/11,70/12671,0.059140337646353625,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0006094,gluconeogenesis,1/11,70/12671,0.059140337646353625,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:0030593,neutrophil chemotaxis,1/11,70/12671,0.059140337646353625,0.14858713359274647,0.10327098485888431,C1QBP,1
male,Etanercept,GO_BP,GO:0046660,female sex differentiation,1/11,70/12671,0.059140337646353625,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:1901606,alpha-amino acid catabolic process,1/11,70/12671,0.059140337646353625,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0044042,glucan metabolic process,1/11,71/12671,0.05996165788172314,0.14858713359274647,0.10327098485888431,GABARAPL1,1
male,Etanercept,GO_BP,GO:0071229,cellular response to acid chemical,1/11,71/12671,0.05996165788172314,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:2001057,reactive nitrogen species metabolic process,1/11,71/12671,0.05996165788172314,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0043068,positive regulation of programmed cell death,2/11,468/12671,0.0600513002985796,0.14858713359274647,0.10327098485888431,TP53BP2/C1QBP,2
male,Etanercept,GO_BP,GO:0016079,synaptic vesicle exocytosis,1/11,72/12671,0.06078232627563551,0.14858713359274647,0.10327098485888431,SV2B,1
male,Etanercept,GO_BP,GO:0002690,positive regulation of leukocyte chemotaxis,1/11,73/12671,0.06160234329372982,0.14858713359274647,0.10327098485888431,C1QBP,1
male,Etanercept,GO_BP,GO:0003231,cardiac ventricle development,1/11,73/12671,0.06160234329372982,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0008593,regulation of Notch signaling pathway,1/11,73/12671,0.06160234329372982,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0019319,hexose biosynthetic process,1/11,73/12671,0.06160234329372982,0.14858713359274647,0.10327098485888431,SESN2,1
male,Etanercept,GO_BP,GO:0043535,regulation of blood vessel endothelial cell migration,1/11,73/12671,0.06160234329372982,0.14858713359274647,0.10327098485888431,NOS3,1
male,Etanercept,GO_BP,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,1/11,74/12671,0.06242170940134795,0.1491821587068912,0.10368453903459052,NOS3,1
male,Etanercept,GO_BP,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,1/11,74/12671,0.06242170940134795,0.1491821587068912,0.10368453903459052,NOS3,1
male,Etanercept,GO_BP,GO:0043271,negative regulation of monoatomic ion transport,1/11,75/12671,0.06324042506353578,0.15033546701877962,0.10448611103032668,NOS3,1
male,Etanercept,GO_BP,GO:0006112,energy reserve metabolic process,1/11,76/12671,0.06405849074504621,0.15033546701877962,0.10448611103032668,GABARAPL1,1
male,Etanercept,GO_BP,GO:0043500,muscle adaptation,1/11,76/12671,0.06405849074504621,0.15033546701877962,0.10448611103032668,NOS3,1
male,Etanercept,GO_BP,GO:0046364,monosaccharide biosynthetic process,1/11,76/12671,0.06405849074504621,0.15033546701877962,0.10448611103032668,SESN2,1
male,Etanercept,GO_BP,GO:0071677,positive regulation of mononuclear cell migration,1/11,77/12671,0.06487590691033418,0.15157106502369555,0.10534487598373828,C1QBP,1
male,Etanercept,GO_BP,GO:0031644,regulation of nervous system process,1/11,78/12671,0.06569267402356171,0.1527941212780163,0.10619492417342684,NOS3,1
male,Etanercept,GO_BP,GO:0010569,regulation of double-strand break repair via homologous recombination,1/11,79/12671,0.06650879254859432,0.1531700480193511,0.10645620066402017,C1QBP,1
male,Etanercept,GO_BP,GO:0034446,substrate adhesion-dependent cell spreading,1/11,79/12671,0.06650879254859432,0.1531700480193511,0.10645620066402017,C1QBP,1
male,Etanercept,GO_BP,GO:0010608,post-transcriptional regulation of gene expression,2/11,497/12671,0.06681015725981292,0.1531700480193511,0.10645620066402017,SESN2/C1QBP,2
male,Etanercept,GO_BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,1/11,80/12671,0.06732426294900462,0.1531700480193511,0.10645620066402017,TP53BP2,1
male,Etanercept,GO_BP,GO:1903312,negative regulation of mRNA metabolic process,1/11,80/12671,0.06732426294900462,0.1531700480193511,0.10645620066402017,C1QBP,1
male,Etanercept,GO_BP,GO:0043255,regulation of carbohydrate biosynthetic process,1/11,81/12671,0.06813908568806948,0.15434984192819218,0.10727618067137712,SESN2,1
male,Etanercept,GO_BP,GO:0051928,positive regulation of calcium ion transport,1/11,82/12671,0.06895326122877088,0.15484762543185185,0.10762215001223768,STIMATE,1
male,Etanercept,GO_BP,GO:1900182,positive regulation of protein localization to nucleus,1/11,82/12671,0.06895326122877088,0.15484762543185185,0.10762215001223768,SESN2,1
male,Etanercept,GO_BP,GO:0009063,amino acid catabolic process,1/11,83/12671,0.06976679003379804,0.1560021356549733,0.1084245573599572,NOS3,1
male,Etanercept,GO_BP,GO:0010595,positive regulation of endothelial cell migration,1/11,84/12671,0.07057967256554432,0.15674176601023648,0.1089386150268135,NOS3,1
male,Etanercept,GO_BP,GO:0009408,response to heat,1/11,85/12671,0.07139190928611194,0.15674176601023648,0.1089386150268135,NOS3,1
male,Etanercept,GO_BP,GO:0010906,regulation of glucose metabolic process,1/11,85/12671,0.07139190928611194,0.15674176601023648,0.1089386150268135,SESN2,1
male,Etanercept,GO_BP,GO:0035150,regulation of tube size,1/11,86/12671,0.07220350065730663,0.15674176601023648,0.1089386150268135,NOS3,1
male,Etanercept,GO_BP,GO:0035296,regulation of tube diameter,1/11,86/12671,0.07220350065730663,0.15674176601023648,0.1089386150268135,NOS3,1
male,Etanercept,GO_BP,GO:0097746,blood vessel diameter maintenance,1/11,86/12671,0.07220350065730663,0.15674176601023648,0.1089386150268135,NOS3,1
male,Etanercept,GO_BP,GO:1904659,D-glucose transmembrane transport,1/11,86/12671,0.07220350065730663,0.15674176601023648,0.1089386150268135,SESN2,1
male,Etanercept,GO_BP,GO:0010811,positive regulation of cell-substrate adhesion,1/11,87/12671,0.07301444714064065,0.15699058910943758,0.10911155198231443,C1QBP,1
male,Etanercept,GO_BP,GO:0005976,polysaccharide metabolic process,1/11,88/12671,0.07382474919733628,0.15699058910943758,0.10911155198231443,GABARAPL1,1
male,Etanercept,GO_BP,GO:0008645,hexose transmembrane transport,1/11,88/12671,0.07382474919733628,0.15699058910943758,0.10911155198231443,SESN2,1
male,Etanercept,GO_BP,GO:0019395,fatty acid oxidation,1/11,88/12671,0.07382474919733628,0.15699058910943758,0.10911155198231443,SESN2,1
male,Etanercept,GO_BP,GO:1990266,neutrophil migration,1/11,88/12671,0.07382474919733628,0.15699058910943758,0.10911155198231443,C1QBP,1
male,Etanercept,GO_BP,GO:0016239,positive regulation of macroautophagy,1/11,89/12671,0.0746344072883186,0.1572422612208105,0.10928646905739735,SESN2,1
male,Etanercept,GO_BP,GO:0000423,mitophagy,1/11,90/12671,0.07544342187422137,0.1572422612208105,0.10928646905739735,GABARAPL1,1
male,Etanercept,GO_BP,GO:1904064,positive regulation of cation transmembrane transport,1/11,90/12671,0.07544342187422137,0.1572422612208105,0.10928646905739735,STIMATE,1
male,Etanercept,GO_BP,GO:0015749,monosaccharide transmembrane transport,1/11,91/12671,0.07625179341538546,0.1572422612208105,0.10928646905739735,SESN2,1
male,Etanercept,GO_BP,GO:0043200,response to amino acid,1/11,91/12671,0.07625179341538546,0.1572422612208105,0.10928646905739735,SESN2,1
male,Etanercept,GO_BP,GO:0048024,"regulation of mRNA splicing, via spliceosome",1/11,91/12671,0.07625179341538546,0.1572422612208105,0.10928646905739735,C1QBP,1
male,Etanercept,GO_BP,GO:0061041,regulation of wound healing,1/11,91/12671,0.07625179341538546,0.1572422612208105,0.10928646905739735,NOS3,1
male,Etanercept,GO_BP,GO:0009062,fatty acid catabolic process,1/11,92/12671,0.07705952237185809,0.1572422612208105,0.10928646905739735,SESN2,1
male,Etanercept,GO_BP,GO:0034440,lipid oxidation,1/11,92/12671,0.07705952237185809,0.1572422612208105,0.10928646905739735,SESN2,1
male,Etanercept,GO_BP,GO:0043534,blood vessel endothelial cell migration,1/11,92/12671,0.07705952237185809,0.1572422612208105,0.10928646905739735,NOS3,1
male,Etanercept,GO_BP,GO:0071621,granulocyte chemotaxis,1/11,93/12671,0.07786660920339561,0.1572422612208105,0.10928646905739735,C1QBP,1
male,Etanercept,GO_BP,GO:1903305,regulation of regulated secretory pathway,1/11,93/12671,0.07786660920339561,0.1572422612208105,0.10928646905739735,SV2B,1
male,Etanercept,GO_BP,GO:1903432,regulation of TORC1 signaling,1/11,93/12671,0.07786660920339561,0.1572422612208105,0.10928646905739735,SESN2,1
male,Etanercept,GO_BP,GO:0003205,cardiac chamber development,1/11,99/12671,0.08269567127844701,0.1644444455575225,0.11429212904694967,NOS3,1
male,Etanercept,GO_BP,GO:0007269,neurotransmitter secretion,1/11,99/12671,0.08269567127844701,0.1644444455575225,0.11429212904694967,SV2B,1
male,Etanercept,GO_BP,GO:0034219,carbohydrate transmembrane transport,1/11,99/12671,0.08269567127844701,0.1644444455575225,0.11429212904694967,SESN2,1
male,Etanercept,GO_BP,GO:0099643,signal release from synapse,1/11,99/12671,0.08269567127844701,0.1644444455575225,0.11429212904694967,SV2B,1
male,Etanercept,GO_BP,GO:0002688,regulation of leukocyte chemotaxis,1/11,100/12671,0.08349827608404159,0.16478258272646085,0.11452714104031224,C1QBP,1
male,Etanercept,GO_BP,GO:0034767,positive regulation of monoatomic ion transmembrane transport,1/11,100/12671,0.08349827608404159,0.16478258272646085,0.11452714104031224,STIMATE,1
male,Etanercept,GO_BP,GO:0001101,response to acid chemical,1/11,103/12671,0.085902261584614,0.1682521740059545,0.11693857532689839,SESN2,1
male,Etanercept,GO_BP,GO:0050921,positive regulation of chemotaxis,1/11,103/12671,0.085902261584614,0.1682521740059545,0.11693857532689839,C1QBP,1
male,Etanercept,GO_BP,GO:0008643,carbohydrate transport,1/11,104/12671,0.08670231530219585,0.16918316955971552,0.11758563557640599,SESN2,1
male,Etanercept,GO_BP,GO:0007292,female gamete generation,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,NOS3,1
male,Etanercept,GO_BP,GO:0032609,type II interferon production,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,C1QBP,1
male,Etanercept,GO_BP,GO:0032649,regulation of type II interferon production,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,C1QBP,1
male,Etanercept,GO_BP,GO:0038202,TORC1 signaling,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,SESN2,1
male,Etanercept,GO_BP,GO:0048660,regulation of smooth muscle cell proliferation,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,NOS3,1
male,Etanercept,GO_BP,GO:0062013,positive regulation of small molecule metabolic process,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,NOS3,1
male,Etanercept,GO_BP,GO:0072329,monocarboxylic acid catabolic process,1/11,107/12671,0.0890986584947141,0.16941752217425565,0.11774851526001404,SESN2,1
male,Etanercept,GO_BP,GO:0002832,negative regulation of response to biotic stimulus,1/11,108/12671,0.08989616842439918,0.16969530343881148,0.11794157871088222,C1QBP,1
male,Etanercept,GO_BP,GO:0008217,regulation of blood pressure,1/11,108/12671,0.08989616842439918,0.16969530343881148,0.11794157871088222,NOS3,1
male,Etanercept,GO_BP,GO:0000422,autophagy of mitochondrion,1/11,109/12671,0.09069304354557495,0.1699678981555559,0.11813103740885188,GABARAPL1,1
male,Etanercept,GO_BP,GO:0039531,regulation of cytoplasmic pattern recognition receptor signaling pathway,1/11,109/12671,0.09069304354557495,0.1699678981555559,0.11813103740885188,C1QBP,1
male,Etanercept,GO_BP,GO:0031214,biomineral tissue development,1/11,111/12671,0.09228489118133543,0.17075566710926077,0.11867855234990546,NOS3,1
male,Etanercept,GO_BP,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,1/11,111/12671,0.09228489118133543,0.17075566710926077,0.11867855234990546,STIMATE,1
male,Etanercept,GO_BP,GO:0048659,smooth muscle cell proliferation,1/11,111/12671,0.09228489118133543,0.17075566710926077,0.11867855234990546,NOS3,1
male,Etanercept,GO_BP,GO:0050684,regulation of mRNA processing,1/11,112/12671,0.09307986460466422,0.17075566710926077,0.11867855234990546,C1QBP,1
male,Etanercept,GO_BP,GO:0055088,lipid homeostasis,1/11,112/12671,0.09307986460466422,0.17075566710926077,0.11867855234990546,SESN2,1
male,Etanercept,GO_BP,GO:2000241,regulation of reproductive process,1/11,112/12671,0.09307986460466422,0.17075566710926077,0.11867855234990546,C1QBP,1
male,Etanercept,GO_BP,GO:0097530,granulocyte migration,1/11,113/12671,0.09387420503697119,0.1716086344710947,0.11927138146894956,C1QBP,1
male,Etanercept,GO_BP,GO:0000045,autophagosome assembly,1/11,114/12671,0.09466791293190624,0.17209403160904355,0.11960874204164255,GABARAPL1,1
male,Etanercept,GO_BP,GO:0007565,female pregnancy,1/11,115/12671,0.09546098874282838,0.17209403160904355,0.11960874204164255,C1QBP,1
male,Etanercept,GO_BP,GO:0030168,platelet activation,1/11,115/12671,0.09546098874282838,0.17209403160904355,0.11960874204164255,NOS3,1
male,Etanercept,GO_BP,GO:1903169,regulation of calcium ion transmembrane transport,1/11,115/12671,0.09546098874282838,0.17209403160904355,0.11960874204164255,STIMATE,1
male,Etanercept,GO_BP,GO:0002687,positive regulation of leukocyte migration,1/11,116/12671,0.09625343292280819,0.17292427087166573,0.12018577468401459,C1QBP,1
male,Etanercept,GO_BP,GO:0008016,regulation of heart contraction,1/11,117/12671,0.0970452459246286,0.17315264769428595,0.12034450107452141,NOS3,1
male,Etanercept,GO_BP,GO:0022898,regulation of transmembrane transporter activity,1/11,117/12671,0.0970452459246286,0.17315264769428595,0.12034450107452141,STIMATE,1
male,Etanercept,GO_BP,GO:0051053,negative regulation of DNA metabolic process,1/11,118/12671,0.09783642820078164,0.17396852932630458,0.12091155488079357,C1QBP,1
male,Etanercept,GO_BP,GO:0045766,positive regulation of angiogenesis,1/11,119/12671,0.09862698020347338,0.17460678159544904,0.12135515278075457,NOS3,1
male,Etanercept,GO_BP,GO:0034614,cellular response to reactive oxygen species,1/11,120/12671,0.09941690238462109,0.17460678159544904,0.12135515278075457,NOS3,1
male,Etanercept,GO_BP,GO:0048771,tissue remodeling,1/11,121/12671,0.10020619519585272,0.17460678159544904,0.12135515278075457,NOS3,1
male,Etanercept,GO_BP,GO:0071675,regulation of mononuclear cell migration,1/11,121/12671,0.10020619519585272,0.17460678159544904,0.12135515278075457,C1QBP,1
male,Etanercept,GO_BP,GO:1904018,positive regulation of vasculature development,1/11,121/12671,0.10020619519585272,0.17460678159544904,0.12135515278075457,NOS3,1
male,Etanercept,GO_BP,GO:1905037,autophagosome organization,1/11,121/12671,0.10020619519585272,0.17460678159544904,0.12135515278075457,GABARAPL1,1
male,Etanercept,GO_BP,GO:0017148,negative regulation of translation,1/11,122/12671,0.10099485908850936,0.17539440528371125,0.12190256675946394,SESN2,1
male,Etanercept,GO_BP,GO:0007219,Notch signaling pathway,1/11,123/12671,0.10178289451364497,0.17559234450863917,0.12204013841998561,NOS3,1
male,Etanercept,GO_BP,GO:0045727,positive regulation of translation,1/11,123/12671,0.10178289451364497,0.17559234450863917,0.12204013841998561,C1QBP,1
male,Etanercept,GO_BP,GO:0010594,regulation of endothelial cell migration,1/11,125/12671,0.10335708176412717,0.17713499868128374,0.12311231345865564,NOS3,1
male,Etanercept,GO_BP,GO:1903034,regulation of response to wounding,1/11,125/12671,0.10335708176412717,0.17713499868128374,0.12311231345865564,NOS3,1
male,Etanercept,GO_BP,GO:0006813,potassium ion transport,1/11,126/12671,0.10414323449014284,0.17731576852733472,0.12323795206263895,NOS3,1
male,Etanercept,GO_BP,GO:1900180,regulation of protein localization to nucleus,1/11,126/12671,0.10414323449014284,0.17731576852733472,0.12323795206263895,SESN2,1
male,Etanercept,GO_BP,GO:0030308,negative regulation of cell growth,1/11,127/12671,0.10492876054997657,0.17800542949467557,0.1237172800205443,SESN2,1
male,Etanercept,GO_BP,GO:0032409,regulation of transporter activity,1/11,128/12671,0.10571366039324426,0.17800542949467557,0.1237172800205443,STIMATE,1
male,Etanercept,GO_BP,GO:0044703,multi-organism reproductive process,1/11,128/12671,0.10571366039324426,0.17800542949467557,0.1237172800205443,C1QBP,1
male,Etanercept,GO_BP,GO:0170039,proteinogenic amino acid metabolic process,1/11,129/12671,0.1064979344692768,0.17800542949467557,0.1237172800205443,NOS3,1
male,Etanercept,GO_BP,GO:2001236,regulation of extrinsic apoptotic signaling pathway,1/11,129/12671,0.1064979344692768,0.17800542949467557,0.1237172800205443,NOS3,1
male,Etanercept,GO_BP,GO:0000018,regulation of DNA recombination,1/11,130/12671,0.10728158322711734,0.17800542949467557,0.1237172800205443,C1QBP,1
male,Etanercept,GO_BP,GO:0030324,lung development,1/11,130/12671,0.10728158322711734,0.17800542949467557,0.1237172800205443,NOS3,1
male,Etanercept,GO_BP,GO:0032543,mitochondrial translation,1/11,130/12671,0.10728158322711734,0.17800542949467557,0.1237172800205443,C1QBP,1
male,Etanercept,GO_BP,GO:0006836,neurotransmitter transport,1/11,131/12671,0.10806460711552357,0.17873542954662786,0.1242246444368926,SV2B,1
male,Etanercept,GO_BP,GO:0009266,response to temperature stimulus,1/11,132/12671,0.10884700658296587,0.17889366066159373,0.12433461817878219,NOS3,1
male,Etanercept,GO_BP,GO:0044706,multi-multicellular organism process,1/11,132/12671,0.10884700658296587,0.17889366066159373,0.12433461817878219,C1QBP,1
male,Etanercept,GO_BP,GO:0048469,cell maturation,1/11,133/12671,0.1096287820776295,0.17920117021402557,0.12454834337534054,BFSP1,1
male,Etanercept,GO_BP,GO:0030323,respiratory tube development,1/11,134/12671,0.11040993404741306,0.17920117021402557,0.12454834337534054,NOS3,1
male,Etanercept,GO_BP,GO:0032006,regulation of TOR signaling,1/11,134/12671,0.11040993404741306,0.17920117021402557,0.12454834337534054,SESN2,1
male,Etanercept,GO_BP,GO:2000779,regulation of double-strand break repair,1/11,134/12671,0.11040993404741306,0.17920117021402557,0.12454834337534054,C1QBP,1
male,Etanercept,GO_BP,GO:0009749,response to glucose,1/11,135/12671,0.11119046293992918,0.17935056096502508,0.12465217289012755,SESN2,1
male,Etanercept,GO_BP,GO:0017157,regulation of exocytosis,1/11,135/12671,0.11119046293992918,0.17935056096502508,0.12465217289012755,SV2B,1
male,Etanercept,GO_BP,GO:0170033,L-amino acid metabolic process,1/11,136/12671,0.11197036920250591,0.18005111837810364,0.12513907409246924,NOS3,1
male,Etanercept,GO_BP,GO:0043270,positive regulation of monoatomic ion transport,1/11,138/12671,0.11352831562572208,0.18199462289538831,0.12648984801699886,STIMATE,1
male,Etanercept,GO_BP,GO:0006814,sodium ion transport,1/11,139/12671,0.11430635667958922,0.18267979088977296,0.12696605327019275,NOS3,1
male,Etanercept,GO_BP,GO:0009746,response to hexose,1/11,140/12671,0.11508377688997307,0.18335977908157788,0.127438658458557,SESN2,1
male,Etanercept,GO_BP,GO:0034284,response to monosaccharide,1/11,143/12671,0.11741231691781162,0.1860288867904323,0.12929374089485549,SESN2,1
male,Etanercept,GO_BP,GO:0006109,regulation of carbohydrate metabolic process,1/11,144/12671,0.11818725821042819,0.1860288867904323,0.12929374089485549,SESN2,1
male,Etanercept,GO_BP,GO:0016052,carbohydrate catabolic process,1/11,144/12671,0.11818725821042819,0.1860288867904323,0.12929374089485549,GABARAPL1,1
male,Etanercept,GO_BP,GO:0034764,positive regulation of transmembrane transport,1/11,144/12671,0.11818725821042819,0.1860288867904323,0.12929374089485549,STIMATE,1
male,Etanercept,GO_BP,GO:1903522,regulation of blood circulation,1/11,145/12671,0.11896158088622355,0.18668368566783877,0.12974883901350953,NOS3,1
male,Etanercept,GO_BP,GO:0060047,heart contraction,1/11,146/12671,0.11973528538967637,0.1873335846487129,0.13020053160755074,NOS3,1
male,Etanercept,GO_BP,GO:0008406,gonad development,1/11,147/12671,0.12050837216498311,0.18797862843699462,0.130648849747098,NOS3,1
male,Etanercept,GO_BP,GO:0030258,lipid modification,1/11,148/12671,0.1212808416560549,0.18805749554406134,0.13070366394010932,SESN2,1
male,Etanercept,GO_BP,GO:0060541,respiratory system development,1/11,148/12671,0.1212808416560549,0.18805749554406134,0.13070366394010932,NOS3,1
male,Etanercept,GO_BP,GO:0051260,protein homooligomerization,1/11,149/12671,0.12205269430652077,0.18869274104954695,0.1311451720800973,KCTD9,1
male,Etanercept,GO_BP,GO:0045137,development of primary sexual characteristics,1/11,150/12671,0.1228239305597254,0.18932327757874834,0.1315834073888058,NOS3,1
male,Etanercept,GO_BP,GO:0003015,heart process,1/11,151/12671,0.12359455085873028,0.18994914748495126,0.13201839930260273,NOS3,1
male,Etanercept,GO_BP,GO:0050920,regulation of chemotaxis,1/11,152/12671,0.12436455564631477,0.19057039262273529,0.13245017691124544,C1QBP,1
male,Etanercept,GO_BP,GO:0010508,positive regulation of autophagy,1/11,153/12671,0.12513394536497335,0.19118705435528185,0.1328787689629598,SESN2,1
male,Etanercept,GO_BP,GO:0033002,muscle cell proliferation,1/11,155/12671,0.1266708813640841,0.1924067906434047,0.13372650971074093,NOS3,1
male,Etanercept,GO_BP,GO:1901605,alpha-amino acid metabolic process,1/11,155/12671,0.1266708813640841,0.1924067906434047,0.13372650971074093,NOS3,1
male,Etanercept,GO_BP,GO:0002064,epithelial cell development,1/11,156/12671,0.12743842852811382,0.19245049641491974,0.13375688608290207,BFSP1,1
male,Etanercept,GO_BP,GO:0090257,regulation of muscle system process,1/11,156/12671,0.12743842852811382,0.19245049641491974,0.13375688608290207,NOS3,1
male,Etanercept,GO_BP,GO:0003007,heart morphogenesis,1/11,157/12671,0.12820536239037417,0.19304911504446515,0.1341729378226003,NOS3,1
male,Etanercept,GO_BP,GO:0016051,carbohydrate biosynthetic process,1/11,158/12671,0.12897168339194898,0.19308691680231443,0.13419921078896085,SESN2,1
male,Etanercept,GO_BP,GO:0062207,regulation of pattern recognition receptor signaling pathway,1/11,158/12671,0.12897168339194898,0.19308691680231443,0.13419921078896085,C1QBP,1
male,Etanercept,GO_BP,GO:0010810,regulation of cell-substrate adhesion,1/11,159/12671,0.12973739197363876,0.19367673701508822,0.13460914745568311,C1QBP,1
male,Etanercept,GO_BP,GO:0006006,glucose metabolic process,1/11,160/12671,0.13050248857596436,0.19370882207429468,0.13463144720387388,SESN2,1
male,Etanercept,GO_BP,GO:0031929,TOR signaling,1/11,160/12671,0.13050248857596436,0.19370882207429468,0.13463144720387388,SESN2,1
male,Etanercept,GO_BP,GO:0009743,response to carbohydrate,1/11,161/12671,0.13126697363916118,0.19429003768750847,0.13503540350440027,SESN2,1
male,Etanercept,GO_BP,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,1/11,162/12671,0.13203084760318806,0.19486705836051268,0.13543644423884507,C1QBP,1
male,Etanercept,GO_BP,GO:0043484,regulation of RNA splicing,1/11,163/12671,0.13279411090771787,0.19488938530400285,0.1354519619043883,C1QBP,1
male,Etanercept,GO_BP,GO:0043542,endothelial cell migration,1/11,163/12671,0.13279411090771787,0.19488938530400285,0.1354519619043883,NOS3,1
male,Etanercept,GO_BP,GO:0006164,purine nucleotide biosynthetic process,1/11,164/12671,0.1335567639921451,0.19491057154035743,0.13546668675600154,NOS3,1
male,Etanercept,GO_BP,GO:0045926,negative regulation of growth,1/11,164/12671,0.1335567639921451,0.19491057154035743,0.13546668675600154,SESN2,1
